biztanleria,azalera,udalerriaLabel,lurraldeaLabel
232,15.2,Amorotze-Zokotze,Nafarroa Beherea
261,15.9,Pagola,Nafarroa Beherea
10595,98.29,Tafalla,Nafarroa
346,49.6,Banka,Nafarroa Beherea
117,8,Legarda,Nafarroa
2223,10.59,Arbona,Lapurdi
7777,373.55,Baztan,Nafarroa
7507,22,Muskiz,Bizkaia
1436,61,Dima,Bizkaia
130,23.32,Lakarri-Arhane-Sarrikotagaine,Zuberoa
1852,2.99,Irura,Gipuzkoa
1279,11.03,Lakuntza,Nafarroa
172,8,Irañeta,Nafarroa
257,5.29,Arberatze-Zilhekoa,Nafarroa Beherea
212,6.56,Ozaraine-Erribareita,Zuberoa
286,22.25,Beire,Nafarroa
322,23.27,Aldude,Nafarroa Beherea
39471,32.26,Errenteria,Gipuzkoa
261,15.9,Pagola,Zuberoa
968,22.8,Arrankudiaga,Bizkaia
586,14.5,Arrieta,Bizkaia
517,47,Iruraiz-Gauna,Araba
325,18,Iguzkitza,Nafarroa
632,15.6,Ibarrangelu,Bizkaia
376,84.39,Kuartango,Araba
8371,42,Legazpi,Gipuzkoa
980,57.41,Arratzua-Ubarrundia,Araba
691,24.2,Lantziego,Araba
2821,10.6,Getaria,Gipuzkoa
1245,20.23,Berriatua,Bizkaia
1379,15.5,Gamiz-Fika,Bizkaia
5893,88.4,Azkoien,Nafarroa
813,47.05,Etxalar,Nafarroa
3486,15.97,Lemoa,Bizkaia
441,12,Kortezubi,Bizkaia
844,21.47,Lekorne,Lapurdi
413,18.94,Ziortza-Bolibar,Bizkaia
410,39.5,Zanbrana,Araba
4152,5,Ugao,Bizkaia
921,20.58,Amezketa,Gipuzkoa
180,12.52,Kripan,Araba
434,13,Mañeru,Nafarroa
1158,23.79,Mallabia,Bizkaia
153,9,Uterga,Nafarroa
1528,35,Zegama,Gipuzkoa
203,10,Leza,Araba
642,46.93,Barkoxe,Zuberoa
161,2.68,Berrogaine-Larüntze,Zuberoa
18380,6.01,Lasarte-Oria,Gipuzkoa
735,22.62,Ispaster,Bizkaia
1725,18.6,Lerin,Nafarroa
2527,42.8,Sopuerta,Bizkaia
1005,16.32,Eltziego,Araba
3411,53.25,Iruña Oka,Araba
11563,3.38,Etxebarri,Bizkaia
182,112.57,Uxue,Nafarroa
494,130.44,Bernedo,Araba
392,50.14,San Martin Unx,Nafarroa
2412,16.8,Lezama,Bizkaia
102,13.31,Santsol,Nafarroa
27296,3.5,Sestao,Bizkaia
262,146.3,Artzibar,Nafarroa
585,32.46,Errezil,Gipuzkoa
609,21.22,Ezkio-Itsaso,Gipuzkoa
865,6,Lapuebla Labarka,Araba
75,2.2,Etxarri,Nafarroa
2433,15,Loiu,Bizkaia
14894,5.6,Zizur Nagusia,Nafarroa
996,244.06,Gaubea,Araba
322,14.55,Arboti-Zohota,Nafarroa Beherea
515,17.73,Mañaria,Bizkaia
650,13.64,Etxauri,Nafarroa
296,9,Villabuena,Araba
1614,65.18,Asparrena,Araba
227,10.6,Armiñon,Araba
1371,60.49,Urkabustaiz,Araba
1710,41.5,Gordexola,Bizkaia
5459,51.54,Deba,Gipuzkoa
173,10.3,Ainhize-Monjolose,Nafarroa Beherea
4209,78.62,Viana,Nafarroa
1276,7,Ormaiztegi,Gipuzkoa
159,2.65,Arakaldo,Bizkaia
366,1.02,Lekuine,Lapurdi
395,3.8,Arantzazu,Bizkaia
733,26.2,Mélida,Nafarroa
24350,17.56,Erandio,Bizkaia
251,1.25,Lanestosa,Bizkaia
1467,73.27,Aramaio,Araba
116,11.37,Burgue-Erreiti,Nafarroa Beherea
1238,18.9,Lemoiz,Bizkaia
935,19.7,Obanos,Nafarroa
183,12.03,Zalduondo,Araba
200,9,Navaridas,Araba
1350,27.74,Erriberabeitia,Araba
268,18.8,Ekora,Araba
418,10.34,Arratzu,Bizkaia
284,26.44,Urepele,Nafarroa Beherea
477,7.35,Ajangiz,Bizkaia
3888,52.5,Zizur,Nafarroa
259,10.37,Zerain,Gipuzkoa
3043,11.84,Zaldibar,Bizkaia
17691,52.12,Mungia,Bizkaia
29326,31.7,Galdakao,Bizkaia
7195,8.9,Berango,Bizkaia
1191,23.59,Villatuerta,Nafarroa
1747,10.207,Zigoitia,Araba
160,2.9,Ubide,Bizkaia
4331,5.79,Plentzia,Bizkaia
2671,17.17,Milafranga,Lapurdi
1040,85.02,Kanpezu,Araba
4502,6,Sondika,Bizkaia
453,35.73,Berantevilla,Araba
245,10.67,Ereño,Bizkaia
1452,38.17,Bastida,Araba
5108,22.57,Mugerre,Lapurdi
1194,8,Laukiz,Bizkaia
7128,28.97,Aretxabaleta,Gipuzkoa
432,76.82,Gesalatz,Nafarroa
3126,6.51,Basusarri,Lapurdi
31,28,Petilla Aragoi,Nafarroa
15880,6.17,Ermua,Bizkaia
1614,10,Zaratamo,Bizkaia
1506,93.45,Deierri,Nafarroa
1201,9.1,Areatza,Bizkaia
1366,23.41,Atxondo,Bizkaia
10293,59.71,Oiartzun,Gipuzkoa
7372,37.4,Elorrio,Bizkaia
875,61.77,Lantaron,Araba
3864,63.1,Cascante,Nafarroa
726,123.11,Arraia-Maeztu,Araba
2974,140.9,Aiara,Araba
20354,39.81,Hernani,Gipuzkoa
448,7.66,Amendüze-Unaso,Nafarroa Beherea
5742,11.37,Lazkao,Gipuzkoa
316,10.64,Samaniego,Araba
1885,45.85,Legutio,Araba
156,21.92,Añana,Araba
2876,97.43,Dulantzi,Araba
7307,1.9,Lekeitio,Bizkaia
333,17.5,Elvillar,Araba
286,9.45,Eneritz,Nafarroa
836,13.57,Gautegiz-Arteaga,Bizkaia
308,6.1,Murueta,Bizkaia
2907,21,Alonsotegi,Bizkaia
45853,6.8,Santurtzi,Bizkaia
175,91.69,Erromantzatua,Nafarroa
1831,40.7,Oltza,Nafarroa
1067,16.5,Bedia,Bizkaia
22,15.1,Orreaga,Nafarroa
4816,45.34,Lodosa,Nafarroa
479,16.42,Errigoiti,Bizkaia
11985,13,Trapagaran,Bizkaia
74,5.32,Arhantsusi,Nafarroa Beherea
208,6.32,Gizaburuaga,Bizkaia
7010,8,Urretxu,Gipuzkoa
126,21.36,Abaurregaina,Nafarroa
9444,18,Abanto,Bizkaia
221,9,Moreda Araba,Araba
736,12.4,Arteaga,Bizkaia
211,37.34,Untziti,Nafarroa
292,22.22,Esa,Nafarroa
438,6.91,Mendexa,Bizkaia
823,14.17,Ea,Bizkaia
501,31,Turtzioz,Bizkaia
883,97.43,Barrundia,Araba
1616,19.6,Busturia,Bizkaia
1188,30,Okondo,Araba
146,23.46,Orotz-Betelu,Nafarroa
128,6,Gaintza,Gipuzkoa
2913,58.49,Leitza,Nafarroa
257,25.4,Bargota,Nafarroa
288,22.16,Metauten,Nafarroa
805,43.96,Oibar,Nafarroa
3750,29,Ribaforada,Nafarroa
3711,43.69,Zestoa,Gipuzkoa
4199,5,Ibarra,Gipuzkoa
362,11.7,Bakaiku,Nafarroa
303,4,Hernialde,Gipuzkoa
599,32,Burgu,Araba
351,21.22,Puiu,Nafarroa
132,8,Lukin,Nafarroa
261,57,Urizaharra,Araba
110,5.7,Arruazu,Nafarroa
581,24.1,Añorbe,Nafarroa
4065,40.43,Eskoriatza,Gipuzkoa
1675,66.9,Artaxoa,Nafarroa
241,3,Belauntza,Gipuzkoa
2483,33,Etxarri Aranatz,Nafarroa
3843,33.52,Azagra,Nafarroa
333,11.18,Abaltzisketa,Gipuzkoa
933,52.4,Arakil,Nafarroa
6532,12,Astigarraga,Gipuzkoa
33,9,Orbara,Nafarroa
34,9,Nazar,Nafarroa
1051,55.2,Arroitz,Nafarroa
785,119.78,Erriberagoitia,Araba
7443,26.8,Altsasu,Nafarroa
207,64.6,Burgi,Nafarroa
603,12.33,Lizartza,Gipuzkoa
151,26,Eratsun,Nafarroa
148,16.94,Lantz,Nafarroa
291,9.46,Mañueta,Araba
214,15.69,Biurrun-Olkotz,Nafarroa
951,107.08,Larraun,Nafarroa
3883,14.22,Soraluze,Gipuzkoa
482,61.4,Anue,Nafarroa
372,41.81,Ergoiena,Nafarroa
511,15,Ituren,Nafarroa
74,27,Espartza,Nafarroa
31,10.5,Azuelo,Nafarroa
499,10.26,Garinoain,Nafarroa
7903,35.4,Cintruénigo,Nafarroa
10859,40.6,Aranguren,Nafarroa
7256,26,Berriobeiti,Nafarroa
120,20.65,Lapoblación,Nafarroa
91,12,Cabredo,Nafarroa
214,3,Barillas,Nafarroa
805,38,Uharte Arakil,Nafarroa
292,19.28,Ledea,Nafarroa
872,43,Allin,Nafarroa
57,3,Mirafuentes,Nafarroa
122,6,Beraskoain,Nafarroa
77,3,Oko,Nafarroa
79,7,Orisoain,Nafarroa
306,29.27,Ezkaroze,Nafarroa
772,6.55,Aizarnazabal,Gipuzkoa
1693,58.73,Ataun,Gipuzkoa
184,12,Ukar,Nafarroa
14637,75.97,Bergara,Gipuzkoa
111,5,Legaria,Nafarroa
1104,14,Arbizu,Nafarroa
953,6.92,Olaberria,Gipuzkoa
2312,29.47,Idiazabal,Gipuzkoa
183,10.46,Urroz,Nafarroa
55,8.53,Barbarin,Nafarroa
249,9,Mutiloa,Gipuzkoa
621,13.94,Barasoain,Nafarroa
874,34.3,Santakara,Nafarroa
2272,88.4,Arguedas,Nafarroa
129,9,Morentin,Nafarroa
603,3,Berrobi,Gipuzkoa
10426,2.71,Berriozar,Nafarroa
2054,55.27,Aia,Gipuzkoa
2858,21.9,Martzilla,Nafarroa
2273,44.81,Galar,Nafarroa
715,85.41,Donemiliaga,Araba
169,41.43,Lana,Nafarroa
2126,27.72,Antzuola,Gipuzkoa
144,18.5,Untzue,Nafarroa
57,6.41,Sorlada,Nafarroa
157,45.62,Lagran,Araba
143,16.55,Beizama,Gipuzkoa
372,4,Leaburu,Gipuzkoa
84,20.61,Urzainki,Nafarroa
335,4,Murieta,Nafarroa
337,8.8,Antzin,Nafarroa
349,8,Urdazubi,Nafarroa
377,11.4,Urrotz,Nafarroa
403,10,Iturmendi,Nafarroa
359,21.25,Aberin,Nafarroa
322,59.41,Urraulbeiti,Nafarroa
3002,15.61,Zizurkil,Gipuzkoa
11613,39.11,Elgoibar,Gipuzkoa
655,13,Berbintzana,Nafarroa
6168,22.4,Urnieta,Gipuzkoa
72,5.1,Aranaratxe,Nafarroa
78,24.6,Girgillao,Nafarroa
102,8,Larragoa,Nafarroa
122,9,Saldias,Nafarroa
67,18.16,Aguilar Kodes,Nafarroa
116,6,Artazu,Nafarroa
1551,16.76,Asteasu,Gipuzkoa
200,1.33,Arama,Gipuzkoa
189,17,Elizagorria,Nafarroa
203,41,Oloritz,Nafarroa
1613,16.43,Zaldibia,Gipuzkoa
279,12,Areso,Nafarroa
968,36.3,Allo,Nafarroa
3151,36.54,Cortes,Nafarroa
40,6,Tirapu,Nafarroa
50,4,Olexoa,Nafarroa
423,42.4,Imotz,Nafarroa
220,28,Labaien,Nafarroa
21128,53.5,Eguesibar,Nafarroa
1086,39.1,Mendigorria,Nafarroa
30,14.63,Leatxe,Nafarroa
33,4.3,Aribe,Nafarroa
37,11.25,Piedramillera,Nafarroa
221,39,Harana,Araba
2075,77.201,Larraga,Nafarroa
421,36.98,Ollaran,Nafarroa
538,14.7,Abartzuza,Nafarroa
151,58,Uztarroze,Nafarroa
133,137.7,Urraulgoiti,Nafarroa
215,17.1,Atetz,Nafarroa
1490,9.15,Zierbena,Bizkaia
653,15.37,Urdiain,Nafarroa
218,6,Orendain,Gipuzkoa
724,46.8,Ameskoabarrena,Nafarroa
109,14.28,Jaitz,Nafarroa
2741,55.54,Lesaka,Nafarroa
163,5,Bidaurreta,Nafarroa
597,31.2,Arantza,Nafarroa
195,82.31,Orbaizeta,Nafarroa
410,17.6,Morga,Bizkaia
435,9.77,Altzo,Gipuzkoa
6174,25.64,Usurbil,Gipuzkoa
90,39.2,Bidankoze,Nafarroa
1726,9,Doneztebe,Nafarroa
378,15.72,Olaibar,Nafarroa
604,33.32,Deikaztelu,Nafarroa
83,4.9,Abaigar,Nafarroa
16,26.34,Gazteluberri,Nafarroa
190,21.24,Garralda,Nafarroa
14637,27.4,Andoain,Gipuzkoa
153,17.72,Aras,Nafarroa
5333,27.69,Mutriku,Gipuzkoa
839,60,Miranda Arga,Nafarroa
70,9,Genevilla,Nafarroa
93,43.41,Galoze,Nafarroa
298,99.8,Longida,Nafarroa
249,54.053,Ibargoiti,Nafarroa
158,42.23,Goñerri,Nafarroa
2090,4.14,Anoeta,Gipuzkoa
183,2.52,Altzaga,Gipuzkoa
2695,13.2,Agoitz,Nafarroa
284,8,Eulate,Nafarroa
665,59.4,Murillo el Cuende,Nafarroa
974,85.61,Kaseda,Nafarroa
7697,22.3,Balmaseda,Bizkaia
1722,7.59,Alegia,Gipuzkoa
1164,71.22,Sesma,Nafarroa
51,8.7,Aria,Nafarroa
40,7,Itzaltzu,Nafarroa
47,11.1,Orontze,Nafarroa
38,27,Gorza,Nafarroa
129,8,Oiz,Nafarroa
1076,46,Berastegi,Gipuzkoa
7101,3.7,Uharte,Nafarroa
639,33.4,Murillo el Fruto,Nafarroa
187415,60.89,Donostia,Gipuzkoa
1805,34,Ezkabarte,Nafarroa
1964,27.3,Cadreita,Nafarroa
2495,97.3,Zarrakaztelu,Nafarroa
3547,78,Mendabia,Nafarroa
6022,9.81,Orio,Gipuzkoa
654,25.31,Aulesti,Bizkaia
1417,8.62,Legorreta,Gipuzkoa
658,9,Itsasondo,Gipuzkoa
612,39.56,Bertizarana,Nafarroa
58,13.02,Etaiu,Nafarroa
834,82.3,Basaburua,Nafarroa
2011,43.01,Fitero,Nafarroa
2490,67,Fustiñana,Nafarroa
155,4,Ziritza,Nafarroa
2847,46.43,Alesbes,Nafarroa
152,9.15,Gaztelu,Gipuzkoa
58,23,Sartze,Nafarroa
2315,115,Faltzes,Nafarroa
201653,23.55,Iruñea,Nafarroa
139,43.4,Garde,Nafarroa
639,16.63,Igantzi,Nafarroa
251,6,Larraul,Gipuzkoa
234,14.72,Leintz Gatzaga,Gipuzkoa
104,9,Esprontzeda,Nafarroa
1092,11,Monteagudo,Nafarroa
348,14.22,Ziordia,Nafarroa
1357,35.66,Cabanillas,Nafarroa
1489,19.6,Olatzagutia,Nafarroa
304,13.09,Albiztur,Gipuzkoa
295,65.53,Lizoainibar-Arriasgoiti,Nafarroa
1315,15,Sartaguda,Nafarroa
8447,31.03,Zalla,Bizkaia
